0.32, 0, 0, 5, 0.2596763, 0, 5876.767, -918.0538, -2.886256, 0.004950999, 0.07939652, 98.47684, 1.249842, 1.200416, 1.486023
0.6699997, -1, -0.3399999, 5, 0.2875431, 0.7080584146721179726905, 27369.34, -921.4865, -2.886256, 0.004950999, 0.07939652, 212.981, 1.249842, 1.189103, 1.545111
 
0.6799996, -1, -0.3499999, 5, 0.2879556, 0.6617431103780587753708202061, 28274.4, -921.5949, -2.886256, 0.004950999, 0.07939652, 216.4929, 1.249842, 1.18878, 1.546799
 
0.6899996, -1, -0.3599999, 5, 0.2883685, 0.6157515405911955747343202061, 29195.93, -921.7039, -2.886256, 0.004950999, 0.07939652, 220.0123, 1.249842, 1.188457, 1.548487
 
0.6999996, -1, -0.3699999, 5, 0.2887919, 0.5700639114076299390406797939, 30133.99, -921.8135, -2.886256, 0.004950999, 0.07939652, 223.5391, 1.249842, 1.188133, 1.550175
 
0.7099996, -1, -0.3799999, 5, 0.2893498, 0.5246597344005143925435, 31089.65, -921.9236, -2.886256, 0.004950999, 0.07939652, 227.077, 1.249842, 1.18781, 1.551864
 
0.7199996, -1, -0.3899999, 5, 0.2900636, 0.4795131385901945509785, 32063.02, -922.0344, -2.886256, 0.004950999, 0.07939652, 230.626, 1.249842, 1.187487, 1.553552
 
0.7299996, -1, -0.3999999, 5, 0.2907733, 0.434609886256320926970, 33054.17, -922.1457, -2.886256, 0.004950999, 0.07939652, 234.1858, 1.249842, 1.187164, 1.55524
 
0.7399996, -1, -0.4099999, 5, 0.2914842, 0.3899373891705365096205, 34063.2, -922.2576, -2.886256, 0.004950999, 0.07939652, 237.7564, 1.249842, 1.18684, 1.556928
 
0.7499996, -1, -0.4199999, 5, 0.2922013, 0.3454842745196359994295, 35090.19, -922.3701, -2.886256, 0.004950999, 0.07939652, 241.3377, 1.249842, 1.186517, 1.558616
 
0.7599996, -0.8204751, -0.4299999, 5, 0.2929194, 0.3012398640133579319805, 36135.22, -922.4832, -2.886256, 0.004950999, 0.07939652, 244.9294, 1.249842, 1.186194, 1.560305
 
0.7699996, -0.5281658, -0.4382046, 5.034337, 0.2936337, 0.2572736099460849475198202061, 37198.38, -922.5967, -2.886256, 0.004950999, 0.07939652, 248.5316, 1.249842, 1.185871, 1.561993
 
0.7799996, -0.2184463, -0.4434863, 5.103563, 0.294349, 0.2137791105884136801735, 38279.7, -922.7109, -2.886256, 0.004950999, 0.07939652, 252.144, 1.249842, 1.185548, 1.563681
 
0.7899995, 0.09651934, -0.4456707, 5.172964, 0.2950705, 0.1710043106312897823148202061, 39379.27, -922.8257, -2.886256, 0.004950999, 0.07939652, 255.7664, 1.249842, 1.185224, 1.565369
 
0.7999995, 0.4142136, -0.4447055, 5.242526, 0.2957881, 0.1292010614572249238940, 40497.13, -922.941, -2.886256, 0.004950999, 0.07939652, 259.3987, 1.249842, 1.184901, 1.567057
 
0.8099995, 0.7319279, -0.4405634, 5.312162, 0.2964492, 0.0886186099876853162205, 41632.83, -923.0569, -2.886256, 0.004950999, 0.07939652, 263.0391, 1.249842, 1.184578, 1.568746
 
0.8199995, 1, -0.4332441, 5.381872, 0.2970589, 0.04950370286154283691610, 42786.41, -923.1735, -2.886256, 0.004950999, 0.07939652, 266.6875, 1.249842, 1.184255, 1.570434
 
0.8299995, 1, -0.4232441, 5.451701, 0.2976644, 0.01207424665242574358580, 43957.87, -923.2905, -2.886256, 0.004950999, 0.07939652, 270.3436, 1.249842, 1.183931, 1.572122
 
0.8399995, 1, -0.4132441, 5.521652, 0.2982757, -0.02359373442192641588805, 45147.22, -923.4081, -2.886256, 0.004950999, 0.07939652, 274.0072, 1.249842, 1.183608, 1.57381
 
0.8499995, 1, -0.4032441, 5.591712, 0.2988828, -0.05754204196119571562370, 46354.48, -923.5264, -2.886256, 0.004950999, 0.07939652, 277.6781, 1.249842, 1.183285, 1.575498
 
0.8599995, 1, -0.3932441, 5.661882, 0.2994906, -0.089811366328354093605, 47579.65, -923.6451, -2.886256, 0.004950999, 0.07939652, 281.3562, 1.249842, 1.182962, 1.577187
 
